Country Name,Country Code,Time,Time Code,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e) [EN.GHG.CO2.MT.CE.AR5],"GDP per capita, PPP (constant 2021 international $) [NY.GDP.PCAP.PP.KD]","Population, total [SP.POP.TOTL]"
Afghanistan,AFG,1992,YR1992,1.8199,..,13278974
Afghanistan,AFG,1993,YR1993,1.7848,..,14943172
Afghanistan,AFG,1994,YR1994,1.6852,..,16250794
Afghanistan,AFG,1995,YR1995,1.463,..,17065836
Afghanistan,AFG,1996,YR1996,1.4172,..,17763266
Afghanistan,AFG,1997,YR1997,1.3846,..,18452091
Afghanistan,AFG,1998,YR1998,1.4204,..,19159996
Afghanistan,AFG,1999,YR1999,1.3755,..,19887785
Afghanistan,AFG,2000,YR2000,1.0161,1617.82647494969,20130327
Afghanistan,AFG,2001,YR2001,0.9447,1454.11078195559,20284307
Afghanistan,AFG,2002,YR2002,0.9423,1774.30874287341,21378117
Afghanistan,AFG,2003,YR2003,1.008,1815.92819979586,22733049
Afghanistan,AFG,2004,YR2004,0.8929,1776.91820712187,23560654
Afghanistan,AFG,2005,YR2005,1.2663,1908.11478234587,24404567
Afghanistan,AFG,2006,YR2006,1.4083,1929.72389709372,25424094
Afghanistan,AFG,2007,YR2007,2.0096,2155.35306784413,25909852
Afghanistan,AFG,2008,YR2008,3.8334,2191.50435559062,26482622
Afghanistan,AFG,2009,YR2009,6.0828,2565.02208584099,27466101
Afghanistan,AFG,2010,YR2010,7.7889,2848.58606111495,28284089
Afghanistan,AFG,2011,YR2011,11.4087,2757.05258747725,29347708
Afghanistan,AFG,2012,YR2012,9.7678,2985.31914452845,30560034
Afghanistan,AFG,2013,YR2013,8.3,3046.57993117128,31622704
Afghanistan,AFG,2014,YR2014,7.8257,3017.94254424696,32792523
Afghanistan,AFG,2015,YR2015,8.3465,2967.692067153,33831764
Afghanistan,AFG,2016,YR2016,7.5276,2958.7853992308,34700612
Afghanistan,AFG,2017,YR2017,8.0661,2952.99891598909,35688935
Afghanistan,AFG,2018,YR2018,7.932,2902.39211285546,36743039
Afghanistan,AFG,2019,YR2019,7.2491,2927.2451435353,37856121
Afghanistan,AFG,2020,YR2020,7.0541,2769.68574507111,39068979
Afghanistan,AFG,2021,YR2021,7.9308,2144.16657002819,40000412
Afghanistan,AFG,2022,YR2022,8.2599,1981.71016810561,40578842
Afghanistan,AFG,2023,YR2023,8.7073,1992.42439419795,41454761
Albania,ALB,1992,YR1992,2.363,3603.48884474812,3247039
Albania,ALB,1993,YR1993,2.2227,3972.1239285117,3227287
Albania,ALB,1994,YR1994,2.3441,4328.41397768147,3207536
Albania,ALB,1995,YR1995,2.07,4935.45221980927,3187784
Albania,ALB,1996,YR1996,2.0549,5418.14832476367,3168033
Albania,ALB,1997,YR1997,1.5805,4856.76828935362,3148281
Albania,ALB,1998,YR1998,1.9147,5318.9618878105,3128530
Albania,ALB,1999,YR1999,3.0866,6042.7698981677,3108778
Albania,ALB,2000,YR2000,3.2325,6503.8345973574,3089027
Albania,ALB,2001,YR2001,3.4393,7109.62758104454,3060173
Albania,ALB,2002,YR2002,4.0064,7454.47831321598,3051010
Albania,ALB,2003,YR2003,4.2112,7896.09737787753,3039616
Albania,ALB,2004,YR2004,4.414,8366.43391357314,3026939
Albania,ALB,2005,YR2005,4.1485,8874.09928781527,3011487
Albania,ALB,2006,YR2006,4.1347,9457.38699938185,2992547
Albania,ALB,2007,YR2007,4.2444,10099.2815063827,2970017
Albania,ALB,2008,YR2008,4.1946,10940.3606201706,2947314
Albania,ALB,2009,YR2009,4.2746,11383.7887377103,2927519
Albania,ALB,2010,YR2010,4.5569,11864.5356788164,2913021
Albania,ALB,2011,YR2011,4.9882,12199.3104546351,2905195
Albania,ALB,2012,YR2012,4.5329,12392.6540095883,2900401
Albania,ALB,2013,YR2013,4.7693,12539.7838552215,2895092
Albania,ALB,2014,YR2014,5.0958,12788.747230621,2889104
Albania,ALB,2015,YR2015,4.8635,13110.6178808108,2880703
Albania,ALB,2016,YR2016,4.5303,13566.905825586,2876101
Albania,ALB,2017,YR2017,5.3415,14095.7590458888,2873457
Albania,ALB,2018,YR2018,5.3056,14698.5376181768,2866376
Albania,ALB,2019,YR2019,4.9535,15065.7495726178,2854191
Albania,ALB,2020,YR2020,4.5608,14650.3959291802,2837849
Albania,ALB,2021,YR2021,5.0393,16113.1365187234,2811666
Albania,ALB,2022,YR2022,4.609,17097.4783599802,2777689
Albania,ALB,2023,YR2023,4.5918,17975.7983946412,2745972
Algeria,DZA,1992,YR1992,84.7812,11241.4154174565,26628568
Algeria,DZA,1993,YR1993,82.9727,10743.7063534088,27277048
Algeria,DZA,1994,YR1994,81.1524,10414.034824164,27887279
Algeria,DZA,1995,YR1995,83.8167,10588.4433695616,28470191
Algeria,DZA,1996,YR1996,81.506,10808.8788665465,29033044
Algeria,DZA,1997,YR1997,79.6208,10725.967349407,29579301
Algeria,DZA,1998,YR1998,81.4389,11094.8875367088,30054133
Algeria,DZA,1999,YR1999,84.9526,11292.0372996362,30474354
Algeria,DZA,2000,YR2000,87.9362,11558.2204692724,30903893
Algeria,DZA,2001,YR2001,85.8203,11742.5946760635,31331221
Algeria,DZA,2002,YR2002,89.6841,12213.1263530633,31750835
Algeria,DZA,2003,YR2003,96.5024,12835.1814411939,32175818
Algeria,DZA,2004,YR2004,96.6218,13226.7650480025,32628286
Algeria,DZA,2005,YR2005,101.397,13738.4956443574,33109249
Algeria,DZA,2006,YR2006,105.501,13920.6940554178,33623506
Algeria,DZA,2007,YR2007,108.9121,14114.6745191405,34189416
Algeria,DZA,2008,YR2008,113.7024,14206.7767146731,34816961
Algeria,DZA,2009,YR2009,116.0855,14104.4281721519,35490445
Algeria,DZA,2010,YR2010,118.6147,14496.4211311825,36188236
Algeria,DZA,2011,YR2011,124.795,14641.9640935327,36903376
Algeria,DZA,2012,YR2012,140.2599,14697.5396133,37646166
Algeria,DZA,2013,YR2013,145.7032,14778.1914255494,38414171
Algeria,DZA,2014,YR2014,155.0108,15073.7629403724,39205031
Algeria,DZA,2015,YR2015,164.8621,15239.5171455316,40019529
Algeria,DZA,2016,YR2016,160.9903,15511.6858766657,40850721
Algeria,DZA,2017,YR2017,166.5514,15427.6641894871,41689299
Algeria,DZA,2018,YR2018,174.8357,15343.4261221255,42505035
Algeria,DZA,2019,YR2019,181.6493,15199.1989965648,43294546
Algeria,DZA,2020,YR2020,171.8931,14194.1557478261,44042091
Algeria,DZA,2021,YR2021,179.7421,14496.8654697299,44761099
Algeria,DZA,2022,YR2022,186.6444,14782.2002968893,45477389
Algeria,DZA,2023,YR2023,180.3576,15159.324237194,46164219
American Samoa,ASM,1992,YR1992,0.0001,..,49038
American Samoa,ASM,1993,YR1993,0.0001,..,50159
American Samoa,ASM,1994,YR1994,0.0001,..,51251
American Samoa,ASM,1995,YR1995,0.0001,..,52316
American Samoa,ASM,1996,YR1996,0.0001,..,53353
American Samoa,ASM,1997,YR1997,0.0001,..,54362
American Samoa,ASM,1998,YR1998,0.0001,..,55334
American Samoa,ASM,1999,YR1999,0.0001,..,56248
American Samoa,ASM,2000,YR2000,0.0001,..,56855
American Samoa,ASM,2001,YR2001,0.0001,..,57053
American Samoa,ASM,2002,YR2002,0.0001,..,57062
American Samoa,ASM,2003,YR2003,0.0001,..,56971
American Samoa,ASM,2004,YR2004,0.0001,..,56818
American Samoa,ASM,2005,YR2005,0.0001,..,56617
American Samoa,ASM,2006,YR2006,0.0001,..,56374
American Samoa,ASM,2007,YR2007,0.0001,..,56113
American Samoa,ASM,2008,YR2008,0.0001,..,55828
American Samoa,ASM,2009,YR2009,0.0001,..,55528
American Samoa,ASM,2010,YR2010,0.0001,..,55228
American Samoa,ASM,2011,YR2011,0.0001,..,54895
American Samoa,ASM,2012,YR2012,0.0001,..,54489
American Samoa,ASM,2013,YR2013,0.0001,..,54006
American Samoa,ASM,2014,YR2014,0.0001,..,53466
American Samoa,ASM,2015,YR2015,0.0001,..,52878
American Samoa,ASM,2016,YR2016,0.0001,..,52245
American Samoa,ASM,2017,YR2017,0.0001,..,51586
American Samoa,ASM,2018,YR2018,0.0001,..,50908
American Samoa,ASM,2019,YR2019,0.0001,..,50209
American Samoa,ASM,2020,YR2020,0.0001,..,49761
